id,betweenness,closeness,degree,eigenvector,page,clustering,katz
117,2.5115468365811003e-06,,3.825300588313501e-11,2.809792852567268e-06,1.4918899995067962e-11,0.0,5.0921511002378836e-08
118,2.5115468365811003e-06,,5.926704963440356e-12,8.882125805320186e-08,3.341502380298383e-12,0.0,3.208511543811149e-08
119,0.0,,1.2624011448620374e-11,1.6093613208746695e-08,9.744220334884543e-12,0.0,3.7129661971214817e-08
120,2.5115468365811003e-06,,1.4563502919201814e-11,3.736835351747792e-07,9.222084356076071e-12,0.0,3.8079376826556495e-08
121,0.0,,4.3292220353259275e-15,2.404157981032235e-10,9.526420099684456e-15,0.0,2.211375481333764e-08
122,0.0,,6.926755252846199e-12,4.4025709016441887e-07,1.9397961998313494e-12,0.0,3.304018418187916e-08
123,0.0,,6.551022072499923e-08,2.8073438804438636e-06,1.910884877056387e-12,0.0019053917863441731,1.0632825073018124e-09
124,0.0,,6.304150783607033e-08,1.7110426872793275e-06,2.2313954310857737e-11,0.00017872324800522,8.550613191838392e-09
125,0.0,,1.0823055081744676e-13,2.3116331631813967e-10,1.0113587026784405e-13,0.0,2.3052131994745e-08
126,0.0,,6.071744724285535e-08,2.3839635914878998e-07,1.1341255617509052e-11,6.159541853143001e-05,2.299515050754011e-08
127,2.5115468365811003e-06,,3.3941100738530907e-12,2.6758229590124517e-09,1.9204278138983025e-12,0.0,2.920292420662642e-08
128,0.0,,9.56325147047261e-12,1.5307361842095988e-08,6.549211407586966e-12,0.0,3.482130830081917e-08
129,0.0,,4.3292220353259275e-15,1.7787531892182487e-10,1.342629029808354e-14,0.0,2.2116432606126023e-08
130,0.0,,6.33061098866957e-08,9.482638769991025e-07,2.8770235654560884e-17,0.0001703535571397807,7.58990469870261e-09
131,0.0,,6.487183797321957e-08,1.933301643553304e-06,3.088411087007007e-12,0.0010078105316200518,2.3351871932829154e-09
132,0.0,,6.517384017304851e-08,2.8705106373537835e-06,4.800619640889287e-12,0.0014579945279942473,1.6375062305777679e-09
133,0.0,,8.485275185559539e-13,1.8130900686512875e-08,3.251241206486851e-13,0.0,2.5433471056151857e-08
134,0.0,,4.1603823735036814e-12,1.1247892932331107e-08,2.8389373299330213e-12,0.0,3.0063969181180245e-08
135,0.0,,6.574620228880718e-08,2.9423433234137425e-06,6.320922821105067e-12,1.0,7.216412012552046e-10
136,0.0,,6.450367660236625e-08,3.125220919496161e-06,7.302197494604037e-13,1.4487318753017005e-06,3.3251467090130758e-09
137,2.5115468365811003e-06,,6.370405197597397e-08,8.83909511353995e-07,1.0524273821155037e-11,0.00016429105464387038,5.883543646704353e-09
138,2.5115468365811003e-06,,6.982602216928764e-11,3.184961349212957e-06,2.4220838353387433e-11,0.0,6.386706230750746e-08
139,0.0,,6.5039530388661e-08,3.1382769980120176e-06,2.243736638332981e-12,9.214265468408104e-05,1.9594008254637683e-09
140,2.5115468365811003e-06,,6.443685073104642e-08,2.0112722104530452e-06,6.891363649290387e-13,0.001174530203954083,3.4417878715532907e-09
141,0.0,,8.485275185559539e-13,1.9948505575594578e-09,3.611400299654288e-13,0.0,2.5387116221398684e-08
142,0.0,,3.896299827846969e-14,1.2990738634617362e-12,9.993726340520174e-14,0.0,2.2564034990490613e-08
143,0.0,,4.3292220353259275e-15,1.2490405863946917e-110,1.616537392666753e-13,0.0,2.2104503003199805e-08
144,0.0,,6.333922410603438e-08,6.923944624901963e-07,6.935662239032674e-16,0.00017355778128044032,7.452991030567215e-09
145,2.5115468365811003e-06,,5.875557802339865e-08,7.505941278675141e-06,3.084109157300334e-11,2.238196029140929e-05,4.151268305981945e-08
146,0.0,,4.3292220353259275e-15,8.25297252477462e-14,1.2054518846341218e-14,0.0,2.2106505638447942e-08
147,2.5115468365811003e-06,,6.347176756778261e-08,1.3937398572274323e-06,5.654573659822473e-13,0.00030076540049282736,6.793770423765868e-09
148,0.0,,6.333922410603438e-08,7.374538956586131e-07,2.1579133118587535e-13,0.00019304409791021112,7.3908596729543494e-09
149,2.5115468365811003e-06,,6.221819803592652e-08,2.6459084927403477e-07,2.1641981435270025e-12,6.890397525103787e-05,1.294268591176582e-08
150,0.0,,1.3576440295425147e-11,2.792503331661354e-07,8.500712555956026e-12,0.0,3.740700555438213e-08
151,0.0,,6.251396615511529e-12,9.478113544895332e-08,2.1522245259407787e-12,0.0,3.197736726372672e-08
152,0.0,,6.189038934360098e-08,6.288608929685789e-07,4.014489302732349e-12,5.799400675755346e-05,1.5294677849224104e-08
153,0.0,,6.10421388953189e-08,1.3796069858181615e-06,9.530084368034874e-12,4.060179210774111e-05,2.1213274964617082e-08
154,0.0,,6.44702593374332e-08,2.4507312076217323e-06,3.5238716389067636e-13,0.0005609418282548432,3.3127188940867345e-09
155,0.0,,6.403662281258651e-08,1.7838487691573956e-06,3.492597373253989e-15,0.0005125090892842051,4.609685405240246e-09
156,0.0,,1.9091869164722535e-12,1.106583858234125e-07,8.208790121886396e-13,0.0,2.7287234475184534e-08
157,0.0,,1.7182682249098795e-11,1.0787171214603723e-06,7.680792673356231e-12,0.0,3.989608148544677e-08
158,0.0,,6.430330288973736e-08,2.151135902934826e-06,2.555445199001004e-14,0.00043317176771788155,3.798581486062588e-09
159,0.0,,5.303296990048899e-12,3.328977445557818e-07,2.3805220359479256e-12,0.0,3.127761976344081e-08
160,0.0,,6.307455278780595e-08,1.1417928201785683e-06,2.7410355016591635e-15,0.00018874176140972021,8.436871486151853e-09
161,0.0,,8.485275185559539e-13,1.2434738801155672e-08,5.861415030467301e-13,0.0,2.5347304619058827e-08
162,0.0,,6.5073094847143e-08,2.2816213766767924e-06,2.8718278058981458e-12,0.0031185697419463705,1.858202596897618e-09
163,0.0,,6.440345078305437e-08,1.5472997953010169e-06,1.0795414112514378e-12,0.0003116598612476939,3.5870857943279334e-09
164,0.0,,9.974527563704061e-12,4.90238596596459e-07,2.832396089400578e-12,0.0,3.519142035501971e-08
165,0.0,,1.309589664962985e-11,1.1679349131168363e-06,5.152228837790048e-12,0.0,3.7396845854135286e-08
166,0.0,,1.4026679387342275e-12,2.622393755496763e-09,1.1767691084673074e-12,0.0,2.6440520490627232e-08
167,2.5115468365811003e-06,,3.3941100738530907e-12,1.7162112909239258e-09,2.2396224443371465e-12,0.0,2.9284294972530282e-08
168,0.0,,6.584746712143438e-12,1.9622996603739488e-07,2.148050000762649e-12,0.0,3.24316388765277e-08
169,0.0,,4.8643138762410705e-11,2.030014890833689e-06,1.642905550149852e-11,0.0,5.5280425220539066e-08
170,2.5115468365811003e-06,,1.1260306507855713e-11,1.1096341376151405e-09,7.282454130151274e-12,0.0,3.6194012540580335e-08
171,0.0,,6.049067826353263e-08,1.4600884504214448e-07,1.5716715273145403e-11,4.2864921022172884e-05,2.4789262939104646e-08
172,0.0,,8.766674616806427e-12,5.53889884208935e-09,5.9149398636218655e-12,0.0,3.44578466098807e-08
173,0.0,,6.493888896413511e-08,2.1754985373694434e-06,2.780661264471996e-12,0.0009154503616042066,2.1848218686589162e-09
174,2.5115468365811003e-06,,1.0671099389096394e-10,4.9980873571406764e-08,5.1696925330452304e-11,0.0,7.753781616544192e-08
175,0.0,,1.2160784690251813e-11,6.400933815775687e-07,5.35072600459956e-12,0.0,3.666790087417542e-08
176,0.0,,9.228169685321055e-11,2.561826468540655e-06,3.6576906881795105e-11,0.0,7.188005283438716e-08
177,2.5115468365811003e-06,,6.423658091979825e-08,6.040409095845118e-07,7.253889700700775e-14,0.00044920120759265594,4.162400534184164e-09
178,0.0,,2.1213187961122407e-11,6.602213562988709e-07,1.2874785217031196e-11,0.0,4.2057787868849935e-08
179,0.0,,3.896299829428083e-12,3.075004451683397e-07,1.229026257499422e-12,0.0,2.986565808589123e-08
180,0.0,,6.493888896413511e-08,2.365813328556584e-06,3.83084998439738e-12,0.0018777777777777827,2.152238668131255e-09
181,0.0,,4.329222032960391e-11,1.771422902106544e-06,2.353218374305558e-11,0.0,5.279488024634194e-08
182,0.0,,6.234079727712244e-13,1.071084515899416e-09,6.083132538322945e-13,0.0,2.482513924685342e-08
183,0.0,,6.51402497392852e-08,1.8792879103088838e-06,4.723648285370704e-12,0.0001234567901234584,1.7685753310655964e-09
184,0.0,,6.380373231325961e-08,1.7250199180276048e-06,4.41982571042163e-13,0.00030334197431888593,5.50087348110973e-09
185,2.5115468365811003e-06,,6.271153453272833e-08,6.1120180901927e-07,1.5587998986689988e-13,7.69632087231526e-06,1.0459885855299498e-08
186,0.0,,6.430330288973736e-08,2.398352908610884e-06,9.814718960525422e-13,0.000446969324495263,3.8047647548932575e-09
187,0.0,,6.440345078305437e-08,2.0771269133110153e-06,1.7709360617124654e-12,0.0006034126916679818,3.5008029828004144e-09
188,0.0,,6.094464048593395e-08,3.2510948806901484e-07,5.392132430248494e-12,6.869002188023438e-05,2.104169498351398e-08
189,0.0,,5.840522707198764e-08,9.704041796427217e-06,3.6823178168647995e-11,2.176860142571418e-05,4.5512592551162884e-08
190,0.0,,3.896299829428083e-12,1.7093942192932885e-07,1.6455074120544314e-12,0.0,2.9753932942756423e-08
191,0.0,,3.201892615630119e-11,2.0649397992990096e-09,1.4070952418972972e-11,0.0,4.828844575019765e-08
192,0.0,,4.3292220353259275e-15,2.4071380656372157e-14,1.1656108236586209e-14,0.0,2.2109538196898505e-08
193,1.0046187346324401e-05,,6.337234698381889e-08,1.1025456044590439e-06,2.2047172476361505e-15,0.0002523416737780318,7.222508999895639e-09
194,0.0,,4.3292220326978705e-13,1.3203613935859995e-08,2.195330564452192e-13,0.0,2.430886120738576e-08
195,0.0,,6.367084251374879e-08,1.8732041153048407e-06,4.111289427717396e-11,0.00016591563652188526,5.962585587540346e-09
196,0.0,,6.413656290314314e-08,2.2452809760146434e-06,3.9931466389917865e-15,0.000334865102503584,4.315953829384971e-09
197,0.0,,4.3292220353259275e-15,3.571325334910477e-11,2.4530467581398182e-14,0.0,2.2096147274901068e-08
198,0.0,,2.1213187963898846e-13,9.016852481591602e-09,1.3294760078418232e-13,0.0,2.361972955861942e-08
199,0.0,,6.564501538220303e-08,2.983396847096976e-06,9.221365065621082e-13,0.01777777777777779,8.56152103939253e-10
200,0.0,,6.198864103766447e-08,4.19897207460005e-07,3.351208373885561e-12,7.888918942590138e-05,1.454959474248359e-08
201,0.0,,6.267858482377481e-08,5.124769777292999e-07,1.3412254620464832e-12,0.00015945866557963575,1.0384286818886448e-08
202,0.0,,1.7316888141332245e-14,2.47590236540049e-10,4.3640924478674255e-14,0.0,2.2405230096394843e-08
203,0.0,,2.7707021005038653e-13,5.6264563180983815e-11,2.2134514694657373e-13,0.0,2.381642960613413e-08
204,0.0,,6.314066866666159e-08,5.522768076165432e-07,2.3914387921564467e-14,5.846946888200319e-06,8.425215838586623e-09
205,2.5115468365811003e-06,,1.5793434898284966e-10,1.7769230141172501e-07,7.707146894910406e-11,0.0,9.377112686137473e-08
206,0.0,,4.3292220326978705e-13,7.80309519830037e-11,5.035374379320011e-13,0.0,2.4263386973501456e-08
207,2.5115468365811003e-06,,5.981291690822197e-08,1.4534667618705645e-06,1.4492399161381046e-11,3.700799090385599e-05,3.077603211175529e-08
208,2.5115468365811003e-06,,6.10421388953189e-08,2.44212339544702e-07,5.735728328480188e-12,5.1205389596953835e-05,2.08456760290491e-08
209,0.0,,6.577994857451205e-08,2.909038421860549e-06,8.494457935948773e-12,0.0,6.80673418187279e-10
210,0.0,,5.004580670150333e-12,3.81814556509331e-08,1.9643449003432397e-12,0.0,3.101136164598872e-08
211,0.0,,6.25139661559758e-08,9.986101839819025e-08,8.241101482443593e-13,7.55141265364927e-05,1.141063443922834e-08
212,0.0,,6.244817929799621e-08,1.8372445512488235e-07,6.031560351034556e-13,8.647009715473009e-05,1.1932650344076348e-08
213,0.0,,4.3292220353259275e-15,5.1359792926485694e-11,9.760596871533895e-15,0.0,2.2110472180779865e-08
214,0.0,,4.3292220353259275e-15,2.466261331228627e-12,9.993564120213528e-15,0.0,2.210656411361565e-08
215,1.0046187346325036e-05,,5.601324531430442e-08,5.737238907887829e-06,9.31955095119748e-11,1.272185922935136e-05,7.526658133908674e-08
216,0.0,,3.896299829428083e-12,1.0303881619977988e-09,2.2856171691165395e-12,0.0,2.9919558501089767e-08
217,0.0,,1.9091869164722535e-12,1.5630629552278422e-08,1.0774916534461142e-12,0.0,2.724911760794985e-08
218,0.0,,6.527466342500177e-08,2.828315083280151e-06,1.1866888603235555e-12,0.0005668934240362798,1.4618822077880674e-09
219,0.0,,6.37704968757548e-08,7.074242030649199e-07,1.513177162354308e-13,0.00013104810303192399,5.7111556761758375e-09
220,0.0,,3.6408757298004535e-12,3.043065681399192e-09,1.7227193815658857e-12,0.0,2.9661645504486514e-08
221,0.0,,8.004731538790634e-12,1.072172766902167e-08,3.223850405852113e-12,0.0,3.3603782874473e-08
222,0.0,,6.367084251374879e-08,3.4226634050015285e-06,9.827879143113682e-15,1.4020354547954115e-06,6.203873780566173e-09
223,0.0,,6.530828849248972e-08,2.7091586670648526e-06,5.081473171542532e-12,0.0074730641763608744,1.3932058513835004e-09
224,0.0,,1.0823055081744676e-13,1.2361139039426888e-09,9.282824881529515e-14,0.0,2.3082420664975387e-08
225,0.0,,1.7316888141332245e-14,2.722746174658235e-10,2.835848482140305e-13,0.0,2.23247423965875e-08
226,0.0,,6.337234698381889e-08,1.0587652490381374e-06,2.9533335786713027e-14,0.0002178514488568486,7.2367207741487555e-09
