id,betweenness
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,1.3498943614255104e-06
73,1.5394158545125199e-06
74,1.5394158545125199e-06
75,1.9333566337005976e-06
76,1.973243102494639e-06
77,2.0070415694580944e-06
78,2.0070415694580944e-06
79,2.1359290488602175e-06
80,2.1359290488602175e-06
81,2.151258736847885e-06
82,2.151258736847885e-06
83,2.157065565826245e-06
84,2.157065565826245e-06
85,2.2980613157064437e-06
86,2.2980613157064437e-06
87,2.319898731266659e-06
88,2.319898731266659e-06
89,2.39285182725343e-06
90,2.39285182725343e-06
91,2.4479595648529795e-06
92,2.8585148772633056e-06
93,2.8585148772633056e-06
94,3.003549868965701e-06
95,3.1541606759115976e-06
96,3.1541606759115976e-06
97,3.1558463354747454e-06
98,3.3197850634006746e-06
99,3.451920745492315e-06
100,3.527313774293615e-06
101,3.527313774293615e-06
102,3.7168855001035026e-06
103,3.7168855001035026e-06
104,3.952682445374137e-06
105,3.976894018229733e-06
106,4.005293729212344e-06
107,4.005293729212344e-06
108,4.050397518373743e-06
109,4.278695054555189e-06
110,4.368136763884752e-06
111,4.388718573822905e-06
112,4.388718573822905e-06
113,4.483233214315216e-06
114,4.483462733234376e-06
115,4.483462733234376e-06
116,4.500315421280154e-06
117,4.6979339974504605e-06
118,4.6979339974504605e-06
119,4.710730017097356e-06
120,4.733935111748829e-06
121,4.743471097231514e-06
122,4.791406648818331e-06
123,4.791981537164659e-06
124,4.791981537164659e-06
125,4.8684933276584335e-06
126,4.881970615216804e-06
127,4.9274467000577634e-06
128,4.969314652028357e-06
129,4.977937182147964e-06
130,4.98712254151854e-06
131,5.011986873043469e-06
132,5.029491552745481e-06
133,5.039304525063793e-06
134,5.05282154636136e-06
135,5.096572441011959e-06
136,5.0994449707478455e-06
137,5.099618245555727e-06
138,5.117761444823364e-06
139,5.125925531003972e-06
140,5.134824772135245e-06
141,5.144097447988844e-06
142,5.1576684153429535e-06
143,5.1576684153429535e-06
144,5.197407968864925e-06
145,5.208102264608968e-06
146,5.232481945839526e-06
147,5.24827196038095e-06
148,5.257541495448191e-06
149,5.284415457914358e-06
150,5.290173672077512e-06
151,5.29088082596171e-06
152,5.29088082596171e-06
153,5.294861711715635e-06
154,5.3212529607818595e-06
155,5.325053523457948e-06
156,5.347266340606254e-06
157,5.369757876516872e-06
158,5.381050160247784e-06
159,5.389400987913844e-06
160,5.39126132591176e-06
161,5.4412299057192166e-06
162,5.458326799600409e-06
163,5.506285232329168e-06
164,5.506285232329168e-06
165,5.5093212086413985e-06
166,5.51210325806022e-06
167,5.553056777071643e-06
168,5.573912042632696e-06
169,5.588305319073576e-06
170,5.605476904575409e-06
171,5.6338738977790594e-06
172,5.634587311307391e-06
173,5.640850749739372e-06
174,5.647647111122223e-06
175,5.680246710631531e-06
176,5.690904733372816e-06
177,5.69139325839759e-06
178,5.7294485897895945e-06
179,5.739455877109011e-06
180,5.7648387146908145e-06
181,5.812945780682208e-06
182,5.844377044034044e-06
183,5.844455648905985e-06
184,5.850470484382704e-06
185,5.851739459829832e-06
186,5.903191141092857e-06
187,5.908113685914414e-06
188,5.9337134323629605e-06
189,5.939748415722421e-06
190,5.942208223117949e-06
191,5.9528972252667576e-06
192,5.9658626665230655e-06
193,5.9738408779829125e-06
194,5.976818631188372e-06
195,5.986578720546655e-06
196,5.986742099202822e-06
197,5.987615106997121e-06
198,5.9964032568950765e-06
199,6.004948961760347e-06
200,6.014644591892478e-06
201,6.037098155633497e-06
202,6.0518522635677e-06
203,6.055171912967438e-06
204,6.06729895435314e-06
205,6.096404906357283e-06
206,6.102446699947025e-06
207,6.111789844044207e-06
208,6.121684585811773e-06
209,6.125177965836808e-06
210,6.1278667153146e-06
211,6.141570895121764e-06
212,6.151731894246406e-06
213,6.1758716312892284e-06
214,6.180652249690377e-06
215,6.1818905497976725e-06
216,6.189081436226669e-06
217,6.204547645172829e-06
218,6.210574108435664e-06
219,6.229052765618709e-06
220,6.231651290194712e-06
221,6.244379650758498e-06
222,6.248451414758909e-06
223,6.250214687178663e-06
224,6.257212869365997e-06
225,6.26640911327809e-06
226,6.271887441772119e-06
227,6.27300775033663e-06
228,6.2760047524290146e-06
229,6.282990621983739e-06
230,6.287898626549428e-06
231,6.289080078716353e-06
232,6.3215761537265425e-06
233,6.3215761537265425e-06
234,6.3226651095693256e-06
235,6.3241608817444744e-06
236,6.326124905443127e-06
237,6.328197700743262e-06
238,6.362292082128129e-06
239,6.36415144250518e-06
240,6.3695168901779945e-06
241,6.3909023440300495e-06
242,6.391599492652709e-06
243,6.403434857747911e-06
244,6.403564162968032e-06
245,6.409288433921108e-06
246,6.414450124575942e-06
247,6.414450124575942e-06
248,6.420733275819131e-06
249,6.427736079597203e-06
250,6.430594352809901e-06
251,6.442440556250036e-06
252,6.4557641293664916e-06
253,6.468359673923416e-06
254,6.473136271728407e-06
255,6.473307102952784e-06
256,6.4762953150765466e-06
257,6.479557909076842e-06
258,6.48770677178708e-06
259,6.4930732435046895e-06
260,6.5017554059012e-06
261,6.512079772835259e-06
262,6.514480122554859e-06
263,6.522928376732787e-06
264,6.528434627181617e-06
265,6.532040805776763e-06
266,6.535278462446625e-06
267,6.536131079439663e-06
268,6.5365001769616185e-06
269,6.547113796015499e-06
270,6.563459715829531e-06
271,6.564523736611618e-06
272,6.566170870075504e-06
273,6.5853005708098105e-06
274,6.59253609249447e-06
275,6.59452670148627e-06
276,6.600914584333255e-06
277,6.61054587184612e-06
278,6.613916673446962e-06
279,6.6184809958041435e-06
280,6.619242062631862e-06
281,6.622926678622853e-06
282,6.626141170100969e-06
283,6.631561437336715e-06
284,6.635229646148006e-06
285,6.648554203748071e-06
286,6.6513347661269e-06
287,6.653133454922593e-06
288,6.662129115181295e-06
289,6.663854870566708e-06
290,6.666799663279059e-06
291,6.672898809159003e-06
292,6.6741784923494425e-06
293,6.682939403541983e-06
294,6.685373461589415e-06
295,6.689130382120053e-06
296,6.6913043262338425e-06
297,6.691468012438489e-06
