id,betweenness,betweenness
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,1.452325245334042e-06,1.452325245334042e-06
197,1.452325245334042e-06,1.452325245334042e-06
198,1.452325245334042e-06,1.452325245334042e-06
199,1.452325245334042e-06,1.452325245334042e-06
200,1.452325245334042e-06,1.452325245334042e-06
201,2.904650490668084e-06,2.904650490668084e-06
202,2.904650490668084e-06,2.904650490668084e-06
203,2.904650490668084e-06,2.904650490668084e-06
204,2.904650490668084e-06,2.904650490668084e-06
205,2.904650490668084e-06,2.904650490668084e-06
206,2.904650490668084e-06,2.904650490668084e-06
207,2.904650490668084e-06,2.904650490668084e-06
208,4.356975736002126e-06,4.356975736002126e-06
209,4.356975736002126e-06,4.356975736002126e-06
210,4.356975736002126e-06,4.356975736002126e-06
211,4.356975736002126e-06,4.356975736002126e-06
212,4.356975736002126e-06,4.356975736002126e-06
213,4.356975736002126e-06,4.356975736002126e-06
214,4.356975736002126e-06,4.356975736002126e-06
215,5.809300981336168e-06,5.809300981336168e-06
216,5.809300981336168e-06,5.809300981336168e-06
217,5.809300981336168e-06,5.809300981336168e-06
218,5.809300981336168e-06,5.809300981336168e-06
219,5.809300981336168e-06,5.809300981336168e-06
220,7.261626226670211e-06,7.261626226670211e-06
221,7.261626226670211e-06,7.261626226670211e-06
222,7.261626226670211e-06,7.261626226670211e-06
223,7.261626226670211e-06,7.261626226670211e-06
224,8.713951472004252e-06,8.713951472004252e-06
225,8.713951472004252e-06,8.713951472004252e-06
226,8.713951472004252e-06,8.713951472004252e-06
227,1.0892439340005316e-05,1.0892439340005316e-05
228,1.1618601962672337e-05,1.1618601962672337e-05
229,1.1618601962672337e-05,1.1618601962672337e-05
230,1.1618601962672337e-05,1.1618601962672337e-05
231,1.1618601962672337e-05,1.1618601962672337e-05
232,1.3070927208006378e-05,1.3070927208006378e-05
233,1.3070927208006378e-05,1.3070927208006378e-05
234,1.3191954311784214e-05,1.3191954311784214e-05
235,1.3797089830673399e-05,1.3797089830673399e-05
236,1.7427902944008504e-05,1.7427902944008504e-05
237,1.863817398178687e-05,1.863817398178687e-05
238,1.8880228189342546e-05,1.8880228189342546e-05
239,1.8880228189342546e-05,1.8880228189342546e-05
240,2.0332553434676587e-05,2.0332553434676587e-05
241,2.0332553434676587e-05,2.0332553434676587e-05
242,2.2753095510233325e-05,2.2753095510233325e-05
243,2.6141854416012757e-05,2.6141854416012757e-05
244,2.6141854416012757e-05,2.6141854416012757e-05
245,2.9046504906680843e-05,2.9046504906680843e-05
246,2.9046504906680843e-05,2.9046504906680843e-05
247,3.485580588801701e-05,3.485580588801701e-05
248,3.921278162401913e-05,3.921278162401913e-05
249,4.36141339647398e-05,4.36141339647398e-05
250,4.471951484591071e-05,4.471951484591071e-05
251,4.792673309602339e-05,4.792673309602339e-05
252,5.228370883202551e-05,5.228370883202551e-05
253,5.3736034077359554e-05,5.3736034077359554e-05
254,5.3736034077359554e-05,5.3736034077359554e-05
255,5.3736034077359554e-05,5.3736034077359554e-05
256,5.3736034077359554e-05,5.3736034077359554e-05
257,5.3736034077359554e-05,5.3736034077359554e-05
258,5.494630511513792e-05,5.494630511513792e-05
259,5.8093009813361686e-05,5.8093009813361686e-05
260,5.8093009813361686e-05,5.8093009813361686e-05
261,5.8093009813361686e-05,5.8093009813361686e-05
262,5.9399002287764276e-05,5.9399002287764276e-05
263,6.535463604003189e-05,6.535463604003189e-05
264,6.583874445514323e-05,6.583874445514323e-05
265,6.608079866269893e-05,6.608079866269893e-05
266,6.971161177603402e-05,6.971161177603402e-05
267,7.406858751203614e-05,7.406858751203614e-05
268,7.406858751203614e-05,7.406858751203614e-05
269,7.564791262730848e-05,7.564791262730848e-05
270,8.568718947470849e-05,8.568718947470849e-05
271,8.713951472004253e-05,8.713951472004253e-05
272,0.00010182183136691952,0.00010182183136691952
273,0.0001028730382111613,0.0001028730382111613
274,0.00010456741766405103,0.00010456741766405103
275,0.00010456741766405103,0.00010456741766405103
276,0.00010456741766405103,0.00010456741766405103
277,0.00011127231921334318,0.00011127231921334318
278,0.0001205429953627255,0.0001205429953627255
279,0.00012453688978739425,0.00012453688978739425
280,0.00013234486693968996,0.00013234486693968996
281,0.0001412811536244664,0.0001412811536244664
282,0.0001445063619107372,0.0001445063619107372
283,0.0001452140823080668,0.0001452140823080668
284,0.0001524941507600744,0.0001524941507600744
285,0.00015636701808096522,0.00015636701808096522
286,0.00016701740321341485,0.00016701740321341485
287,0.0001723731866699821,0.0001723731866699821
288,0.00018403448965685943,0.00018403448965685943
289,0.00019416378259078375,0.00019416378259078375
290,0.00019751623336542972,0.00019751623336542972
