,borda_count,single_count,majority_count
3,19,5,3.0
2,19,5,2.0
4,12,5,
8,8,3,1.0
14,6,3,
6,4,3,
7,2,2,
28,1,1,
24,1,1,
30,1,1,
17,1,1,
