,borda_count,single_count,majority_count
137,19,6,1.0
107,18,6,2.0
284,16,4,3.0
236,11,4,
7,10,3,1.0
401,8,3,2.0
402,7,3,1.0
39,6,4,
157,6,2,2.0
432,5,2,
205,5,2,
277,4,2,
1019,4,2,
43,4,3,
463,4,2,
544,3,2,
499,3,2,1.0
700,2,2,
280,2,2,1.0
141,2,2,
181,2,2,
453,1,1,
452,1,1,
403,1,1,
454,1,1,
411,1,1,
278,1,1,
279,1,1,
180,1,1,
179,1,1,
204,1,1,
