,borda_count,single_count,majority_count
7,26,7,4.0
39,17,8,
284,16,4,3.0
137,15,6,1.0
107,14,6,
402,7,3,1.0
401,7,3,2.0
236,7,4,
157,6,2,2.0
432,5,2,
43,5,2,
205,5,2,
1019,4,2,
454,4,2,
463,4,2,
277,3,2,
411,3,2,
544,3,2,
700,2,2,
280,2,2,1.0
453,1,1,
452,1,1,
403,1,1,
278,1,1,
279,1,1,
