,borda_count,single_count,majority_count
7,26,7,4.0
39,17,8,
284,16,4,3.0
137,15,6,1.0
107,14,6,
236,7,4,
157,6,2,2.0
43,5,2,
205,5,2,
277,4,2,1.0
454,4,2,
463,4,2,
411,3,2,
544,3,2,
700,2,2,
402,1,1,
452,1,1,
453,1,1,
280,1,1,1.0
278,1,1,
279,1,1,
401,1,1,
