,borda_count,single_count,majority_count
1489103,11,3,3.0
2110,4,2,
22210,3,2,
94712,2,2,
7481,1,1,1.0
81052,1,1,
7000,1,1,
12266,1,1,
12267,1,1,
94717,1,1,
2832642,1,1,1.0
2832650,1,1,
2832641,1,1,
2832621,1,1,
2832651,1,1,
135335,1,1,
104806,1,1,1.0
187490,1,1,
187517,1,1,
226732,1,1,
237295,1,1,
1108222,1,1,
6226949,1,1,
4357814,1,1,
4003204,1,1,
