,borda_count,single_count,majority_count
284,16,4,3.0
7,10,3,1.0
39,6,4,
137,6,3,
107,5,3,
277,1,1,1.0
402,1,1,
452,1,1,
453,1,1,
43,1,1,
454,1,1,
411,1,1,
236,1,1,
157,1,1,1.0
205,1,1,
463,1,1,
544,1,1,
700,1,1,
